13;01901901901;false
13;01901901901;false
13;01901901901;false
13;01901901901;false
01901901901;13;false
13;01901901901;false
01901901901;13;false
01901901901;13;false
13;01901901901;false
01901901901;13;false
73;01690319039;false
01690319039;73;false
73;01690319039;false
01690319039;73;false
01901901901;15;false
15;01901901901;false
13;01910191019;false
01910191019;13;false
13;01910191019;false
01910191019;13;false
01910191019;13;false
13;01910191019;false
13;01910191019;false
01910191019;13;false
13;01910191019;false
01910191019;13;false
01974289081;86;false
86;01974289081;false
01974289081;86;false
85;01974289081;false
01974289081;85;false
01974289081;86;false
86;01974289081;false
13;01901901901;true
85;01974289081;false
01974289081;85;false
01974289081;85;false
01974289081;85;false
01974289081;85;false
01974289081;85;false
01974289081;85;false
85;01974289081;false
01974289081;85;false
