1234567890;9876543210;Hello;26/11/2024;15:31:09
13;01901901901;hello;26/11/2024;15:31:09
13;01901901901;hi;26/11/2024;15:31:09
13;01901901901;kemon aso;26/11/2024;15:31:09
13;123;hello;26/11/2024;15:31:09
13;123;hi;26/11/2024;15:31:09
13;123;hii;26/11/2024;15:31:09
01901901901;13;bgalo asi;26/11/2024;15:31:09
01901901901;13;heii;26/11/2024;15:31:09
1234567890;9876543210;Hello;26/11/2024;15:36:19
13;123;hh;26/11/2024;15:36:39
13;123;hiii;26/11/2024;15:36:39
13;01901901901;hola;26/11/2024;15:38:30
13;01901901901;hh;26/11/2024;15:38:30
13;01901901901;huefs;26/11/2024;15:38:30
13;01901901901;gsg;26/11/2024;15:40:30
13;01901901901;sdfg;26/11/2024;15:40:35
13;01901901901;dfg;26/11/2024;15:40:37
1234567890;9876543210;Hello;26/11/2024;16:52:10
13;01901901901;hell;26/11/2024;17:53:03
12345;19;hello;26/11/2024;18:01:56
19;12345;hi;26/11/2024;18:01:59
19;12345;blah blah;26/11/2024;18:02:08
12345;19;blah blah blah;26/11/2024;18:02:19
12345;17;hello;26/11/2024;23:06:13
13;01901901901;hhel;27/11/2024;11:17:38
13;01901901901;fhwe;27/11/2024;11:20:18
13;01901901901;sgsd;27/11/2024;11:20:31
13;01901901901;sgbsdj;27/11/2024;11:22:17
01901901901;13;sdfg;27/11/2024;11:23:08
13;01901901901;hewfwjh;27/11/2024;11:26:25
13;01901901901;fwer;27/11/2024;11:26:44
01901901901;13;gdsfg;27/11/2024;11:27:54
01901901901;13;asf;27/11/2024;11:28:02
13;01901901901;hello;27/11/2024;12:46:05
01901901901;13;gg;27/11/2024;12:46:38
01901901901;13;gsfg;27/11/2024;12:50:13
13;01901901901;ser;27/11/2024;12:50:26
01901901901;13;sdfh;27/11/2024;12:50:37
